Table S14. Metadata of lichen-associated genomes used to find signatures of Starship horizontal transfer amongst lichen symbionts.								
Genome ID	Accession ID	Species	Genus	Class	Lifestyle	Host	Assembly Release Date	WGS project accession
cladonia.diversa.2	GCA_964605305.1	Cladonia_diversa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/2/25	CAZSCN01
cladonia.furcata.1	GCA_964255445.1	Cladonia_furcata	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWC01
cladonia.grayi.1	GCA_964255175.1	Cladonia_grayi	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWB01
cladonia.kurokawae.1	GCA_054654975.1	Cladonia_kurokawae	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/25/25	BAAIEH01
cladonia.leporina.1	GCA_964254565.1	Cladonia_leporina	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUT01
cladonia.macilenta.1	GCA_964254615.1	Cladonia_macilenta	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWP01
cladonia.macilenta.2	GCA_000444155.1	Cladonia_macilenta	Cladonia	Lecanoromycetes	Lichen-forming	N/A	8/6/13	AUPP01
cladonia.mateocyatha.1	GCA_964254505.1	Cladonia_mateocyatha	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUM01
cladonia.metacorallifera.1	GCA_000482085.2	Cladonia_metacorallifera	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/7/14	AXCT02
cladonia.ochrochlora.1	GCA_964256405.1	Cladonia_ochrochlora	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVBG01
cladonia.petrophila.1	GCA_964256395.1	Cladonia_petrophila	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAT01
cladonia.peziziformis.1	GCA_964256715.1	Cladonia_peziziformis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCP01
cladonia.polycarpoides.1	GCA_964256725.1	Cladonia_polycarpoides	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDT01
cladonia.portentosa.1	GCA_965153415.1	Cladonia_portentosa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	2/26/25	
cladonia.pyxidata.1	GCA_964254885.1	Cladonia_pyxidata	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXL01
cladonia.rangiferina.1	GCA_023065455.1	Cladonia_rangiferina	Cladonia	Lecanoromycetes	Lichen-forming	N/A	4/20/22	JAJREH01
cladonia.rangiferina.2	GCA_006146055.1	Cladonia_rangiferina	Cladonia	Lecanoromycetes	Lichen-forming	N/A	6/7/19	VALI01
cladonia.rangiferina.3	GCA_964254875.1	Cladonia_rangiferina	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUJ01
cladonia.robbinsii.1	GCA_964255325.1	Cladonia_robbinsii	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXT01
