Orthogroup	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_SAMEA111342678
OG0000107	XANCAGTX0491_002940-T1, XANCAGTX0491_002941-T1	XANPAOZ2100_001668-T1
OG0000108	XANCAGTX0491_006616-T1, XANCAGTX0491_003222-T1	XANPAOZ2100_001914-T1
OG0000109	XANCAGTX0491_003307-T1	XANPAOZ2100_001997-T1
OG0000109	XANCAGTX0491_004806-T1	XANPAOZ2100_005643-T1
OG0000110	XANCAGTX0491_003332-T1	XANPAOZ2100_002025-T1
OG0000110	XANCAGTX0491_003332-T2	XANPAOZ2100_002026-T1
OG0000111	XANCAGTX0491_003690-T1	XANPAOZ2100_002488-T1
OG0000111	XANCAGTX0491_008720-T1	XANPAOZ2100_005520-T1
OG0000112	XANCAGTX0491_003850-T1	XANPAOZ2100_002344-T1, XANPAOZ2100_008107-T1
OG0000113	XANCAGTX0491_003955-T1	XANPAOZ2100_002250-T1
OG0000113	XANCAGTX0491_007365-T1	XANPAOZ2100_007146-T1
OG0000114	XANCAGTX0491_004085-T1	XANPAOZ2100_002117-T1
OG0000115	XANCAGTX0491_006082-T1	XANPAOZ2100_003375-T1
OG0000115	XANCAGTX0491_004125-T1	XANPAOZ2100_002832-T1
OG0000116	XANCAGTX0491_005566-T1	XANPAOZ2100_005134-T1
OG0000116	XANCAGTX0491_004127-T1	XANPAOZ2100_002086-T1
OG0000117	XANCAGTX0491_006650-T1	XANPAOZ2100_002869-T1
OG0000117	XANCAGTX0491_004518-T1	XANPAOZ2100_003645-T1
OG0000118	XANCAGTX0491_004532-T1	XANPAOZ2100_003636-T1
OG0000118	XANCAGTX0491_009599-T1	XANPAOZ2100_009008-T1
OG0000119	XANCAGTX0491_005660-T2, XANCAGTX0491_004891-T1, XANCAGTX0491_005660-T1	XANPAOZ2100_005046-T1
OG0000120	XANCAGTX0491_005031-T1	XANPAOZ2100_005831-T1
OG0000121	XANCAGTX0491_008367-T1	XANPAOZ2100_007182-T1
OG0000121	XANCAGTX0491_005426-T1	XANPAOZ2100_006182-T1
OG0000122	XANCAGTX0491_005525-T1	XANPAOZ2100_005163-T1
OG0000122	XANCAGTX0491_009493-T2, XANCAGTX0491_009493-T1	XANPAOZ2100_008903-T1
OG0000123	XANCAGTX0491_005627-T1	XANPAOZ2100_005081-T1
